Image_IR_#,Species_given_name,Species_code,Species_latin_name_or_taxa,Order,Familly,length_mm,width_mm,height_mm,mm/dd/yy,Local_hour,Tbody_C,Tleaf_C,Tbody-Tleaf
8196,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/19/2019,11:03,11.7,10.4,1.3
8198,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/19/2019,11:09,23.1,21.7,1.4
8198,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/19/2019,11:09,19.5,18.5,1
8199,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/19/2019,11:10,22.5,21.5,1
8200,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/19/2019,11:11,24,24.5,-0.5
8363,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/20/2019,18:01,23.9,22,1.9
8364,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/20/2019,18:01,23.1,22.3,0.8
8365,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/20/2019,18:03,22.6,23.1,-0.5
8366,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/20/2019,18:04,20.3,18.9,1.4
8367,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/20/2019,18:06,26.3,24.7,1.6
8368,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/20/2019,18:06,24.4,22.7,1.7
8369,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/20/2019,18:07,26.4,25.6,0.8
8371,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/20/2019,18:08,17.7,17.4,0.3
2741,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/20/2019,18:00,15.2,14,1.2
2746,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/20/2019,18:05,24.1,23.2,0.9
2747,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/20/2019,18:06,22.8,22,0.8
2750,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/20/2019,18:08,28,27.7,0.3
2750,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/20/2019,18:08,28.8,28.3,0.5
2750,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/20/2019,18:08,28.5,26.4,2.1
8449,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,13:38,28.9,26.8,2.1
8449,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,13:38,28.9,26.8,2.1
8450,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,13:39,27.7,26.7,1
8450,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,13:39,28,26.7,1.3
8451,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,13:39,27,25.6,1.4
8451,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,13:39,24.8,23.4,1.4
8452,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,13:39,29.8,27,2.8
8452,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,13:39,29.2,26.6,2.6
8453,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,13:39,29.4,27,2.4
8453,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,13:39,29.4,26.6,2.8
8453,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,13:39,28.2,25.8,2.4
8454,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,13:40,25.8,23.3,2.5
8454,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,13:40,26.4,24.6,1.8
8458,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,13:52,27,24.6,2.4
8458,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,13:52,26.7,24.6,2.1
8458,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,13:52,26.5,24.6,1.9
8459,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,13:52,27.6,26.2,1.4
8459,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,13:52,28.7,27.6,1.1
8463,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,14:07,28.9,28.2,0.7
8463,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,14:07,28,26.4,1.6
8463,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,14:07,26.2,24.4,1.8
8463,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,14:07,26.2,24.8,1.4
8464,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,14:07,29.1,28.3,0.8
8464,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,14:07,28.2,26.6,1.6
8464,Lace bug,lace,Corythucha immaculata,Hemiptera,Tingidae,3.643333333,1.966666667,0.729,6/21/2019,14:07,26.5,24.7,1.8
